;lon,lat,descr
-3.19682, 40.67945, "Num 47926"
-5.62115, 40.68308, "Num 48578"
-3.39036, 40.68884, "Num 47927"
-3.59559, 40.69208, "Num 22212"
0.59367, 40.73021, "Num 47834"
-4.29585, 40.74392, "Num 3441"
-1.33229, 40.74695, "Num 22204"
-4.28215, 40.74733, "Num 48579"
-5.62933, 40.75642, "Num 48577"
0.65988, 40.77532, "Num 47833"
0.50374, 40.78188, "Num 3941"
-0.81896, 40.79397, "Num 52900"
-3.61734, 40.80283, "Num 3616"
0.51422, 40.84045, "Num 22139"
-5.1223, 40.87901, "Num 48576"
-3.60376, 40.89545, "Num 22211"
-4.58569, 40.94036, "Num 3442"
-5.66103, 40.94187, "Num 48575"
-4.60152, 40.94903, "Num 3443"
-2.67869, 40.95571, "Num 3228"
0.88693, 40.97638, "Num 22138"
-5.61488, 41.00171, "Num 48574"
-5.61152, 41.00315, "Num 22233"
0.98773, 41.04441, "Num 3942"
-2.44907, 41.09436, "Num 3444"
0.65697, 41.097, "Num 47832"
1.20388, 41.10517, "Num 3450"
1.12423, 41.11919, "Num 3314"
1.01262, 41.12375, "Num 22137"
1.09608, 41.12404, "Num 22136"
1.24155, 41.12704, "Num 47829"
1.22977, 41.12895, "Num 47830"
1.19072, 41.13103, "Num 3315"
-3.58325, 41.14746, "Num 3287"
1.27117, 41.15746, "Num 47828"
1.39274, 41.15868, "Num 47827"
-8.58215, 41.15988, "Num 22620"
-5.41667, 41.16436, "Num 48573"
-8.63013, 41.17238, "Num 22624"
-8.62958, 41.17242, "Num 22625"
-2.41049, 41.17346, "Num 3445"
1.14642, 41.20492, "Num 3449"
1.56025, 41.20638, "Num 22135"
1.69966, 41.21962, "Num 22134"
1.77193, 41.24833, "Num 22133"
1.24842, 41.25658, "Num 3313"
1.60872, 41.27147, "Num 3943"
2.04021, 41.27217, "Num 3342"
2.04845, 41.2758, "Num 3343"
1.99943, 41.28648, "Num 3341"
2.01859, 41.29795, "Num 3340"
-1.94098, 41.30389, "Num 3229"
2.03122, 41.31116, "Num 3339"
1.18457, 41.31338, "Num 3312"
2.07152, 41.31781, "Num 3344"
1.71932, 41.32295, "Num 3947"
2.04393, 41.3236, "Num 3338"
-1.65265, 41.33241, "Num 3230"
1.66338, 41.33276, "Num 22132"
1.66724, 41.33324, "Num 3945"
2.06264, 41.34928, "Num 47823"
2.13214, 41.37102, "Num 3323"
2.17624, 41.37237, "Num 3320"
2.18016, 41.37832, "Num 3321"
1.71162, 41.38158, "Num 22128"
2.10816, 41.38327, "Num 3959"
2.18931, 41.38364, "Num 3322"
2.10351, 41.38402, "Num 3325"
2.10562, 41.38662, "Num 3326"
-1.18108, 41.38769, "Num 47842"
2.12727, 41.38775, "Num 3324"
1.85631, 41.39421, "Num 47817"
2.20921, 41.39883, "Num 22124"
2.20953, 41.39956, "Num 22123"
2.12299, 41.40058, "Num 3327"
-3.65089, 41.40238, "Num 48495"
-3.65056, 41.40239, "Num 56650"
2.11767, 41.40448, "Num 3328"
2.11763, 41.40464, "Num 3329"
-4.96431, 41.41168, "Num 3225"
1.69035, 41.41942, "Num 22127"
0.98593, 41.42532, "Num 47826"
2.00419, 41.42917, "Num 22126"
2.2107, 41.4331, "Num 3334"
2.00152, 41.43531, "Num 47820"
2.14892, 41.43642, "Num 3330"
2.16117, 41.43982, "Num 3331"
2.23011, 41.44246, "Num 3335"
2.17382, 41.44438, "Num 3332"
2.18734, 41.44597, "Num 3958"
2.18126, 41.44627, "Num 3333"
2.23619, 41.44819, "Num 47694"
1.97568, 41.45467, "Num 47818"
1.98213, 41.45613, "Num 47819"
2.26445, 41.46182, "Num 3336"
0.87501, 41.48015, "Num 3311"
2.29476, 41.48323, "Num 3337"
2.3434, 41.48466, "Num 47693"
2.15806, 41.48616, "Num 22122"
-1.36323, 41.48974, "Num 3231"
-5.0218, 41.49972, "Num 22231"
-3.70958, 41.50219, "Num 3226"
2.20353, 41.51032, "Num 3345"
2.21481, 41.51476, "Num 22121"
2.14449, 41.53219, "Num 3360"
0.83564, 41.53722, "Num 3448"
0.45641, 41.5378, "Num 3446"
2.06725, 41.54306, "Num 3346"
2.05163, 41.55501, "Num 3352"
2.3958, 41.56809, "Num 22116"
2.25318, 41.57157, "Num 22119"
2.20769, 41.57411, "Num 3362"
2.25101, 41.57683, "Num 3347"
