X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
10.7645400,48.4177800,5,120,0,0
11.3980100,48.2041000,5,120,0,0
11.4062700,48.1986600,5,120,0,0
11.4249500,48.1862700,5,120,0,0
11.6855300,48.6122800,5,120,0,0
11.7157200,48.3434700,5,120,0,0
11.7355600,48.6673100,5,120,0,0
12.1219000,50.1820000,5,120,0,0
7.6253700,51.5145400,5,120,0,0
7.6809500,47.6248800,5,120,0,0
8.7889400,48.8786400,5,120,0,0
8.8171600,52.1737400,5,120,0,0
8.8394400,49.2550000,5,120,0,0
9.1720100,48.5544200,5,120,0,0
9.3783900,48.8148800,5,120,0,0
10.1592900,53.4778000,5,120,0,0
10.9444100,49.5659100,5,120,0,0
11.1851000,49.4704000,5,120,0,0
11.2352400,49.4613400,5,120,0,0
11.2381300,49.4540700,5,120,0,0
11.2602700,49.4739900,5,120,0,0
9.1127800,51.4888900,5,100,0,0
9.1350000,51.6291700,5,100,0,0
9.1475000,51.6594400,5,100,0,0
9.1728600,48.4932900,5,100,0,0
9.1756200,51.7455200,5,100,0,0
9.1788900,51.7005600,5,100,0,0
9.5305400,50.0326300,5,100,0,0
9.6690200,50.4818500,5,100,0,0
9.7075000,51.4020000,5,100,0,0
9.8906300,52.6366000,5,100,0,0
8.5983300,49.8605600,5,100,0,0
8.6041700,51.7627700,5,100,0,0
8.6069300,51.7627200,5,100,0,0
8.7286900,50.1222500,5,100,0,0
8.8436100,48.5275400,5,100,0,0
8.9480500,51.7389300,5,100,0,0
8.9550000,51.7394400,5,100,0,0
8.9806500,52.2987200,5,100,0,0
9.0922100,51.8833300,5,100,0,0
9.9231700,50.9328000,5,100,0,0
6.0533300,50.7991700,5,30,0,0
6.0997200,50.7591700,5,30,0,0
6.1308000,50.8091000,5,30,0,0
6.1733700,50.9087000,5,30,0,0
6.1881800,50.8990500,5,30,0,0
6.1941700,50.8608300,5,30,0,0
6.1988900,50.8872200,5,30,0,0
6.1994300,50.7720500,5,30,0,0
6.2094400,50.7611100,5,30,0,0
6.2166700,50.5650100,5,30,0,0
6.2186000,50.7065000,5,30,0,0
6.2780600,50.6322200,5,30,0,0
6.3835500,51.4371600,5,30,0,0
6.4059800,50.3237500,5,30,0,0
6.4152400,51.2521200,5,30,0,0
6.5924200,51.3124500,5,30,0,0
6.7255500,51.5252800,5,30,0,0
6.7264800,51.4627500,5,30,0,0
6.7622200,51.4143800,5,30,0,0
6.7681100,50.7557000,5,30,0,0
6.7827800,50.7563900,5,30,0,0
6.8301800,51.5215700,5,30,0,0
6.8639500,50.8797500,5,30,0,0
6.8738900,50.8713900,5,30,0,0
6.8794100,50.9411300,5,30,0,0
6.8880600,51.0861100,5,30,0,0
6.8889200,51.4706100,5,30,0,0
6.9005600,51.0216700,5,30,0,0
6.9030600,51.0230600,5,30,0,0
6.9347200,50.9641600,5,30,0,0
7.0586100,50.9223000,5,100,0,0
7.0624200,51.4629200,5,100,0,0
7.0650000,51.3322200,5,100,0,0
7.0661300,51.4640300,5,100,0,0
7.0929900,51.2379000,5,100,0,0
7.1648000,52.5074300,5,100,0,0
7.1778000,52.5041300,5,100,0,0
7.2044400,52.4966700,5,100,0,0
7.2091700,52.4952800,5,100,0,0
7.3152800,52.4425000,5,100,0,0
19.0423400,47.5457600,2,50,0,0
19.0531900,47.5953900,2,50,0,0
19.0814800,47.5830300,2,50,0,0
19.0791300,47.5651400,2,50,0,0
19.1098800,47.4714700,2,50,0,0
19.0890700,47.4791200,2,50,0,0
19.0982800,47.4756500,2,50,0,0
19.0845100,47.4750800,2,50,0,0
19.0717100,47.4728000,2,50,0,0
6.9008300,51.9772200,5,100,0,0
6.9492100,52.0535300,5,100,0,0
7.3573000,52.4680000,5,100,0,0
7.3969400,52.1000000,5,100,0,0
7.3990900,50.6217000,5,100,0,0
