;lon,lat,descr
4.25005, 50.89265, "[VB][ZELLIK-003]Brusselsesteenweg ( N50.89265 E4.25005 ) "
4.31607, 50.94795, "[VB][WOLVERTEM-001]Vilvoordsesteenweg ( N50.94795 E4.31607 ) "
4.3168, 50.94787, "[VB][WOLVERTEM-002]Vilvoordsesteenweg ( N50.94787 E4.3168 ) "
4.32459, 50.945, "[VB][MEISE-001]Vilvoordsesteenweg ( N50.945 E4.32459 ) "
4.32548, 50.94492, "[VB][MEISE-002]Vilvoordsesteenweg ( N50.94492 E4.32548 ) "
4.36513, 50.92092, "[VB][GRIMBERGEN-002]Brusselsesteenweg ( N50.92092 E4.36513 ) "
4.36553, 50.92061, "[VB][GRIMBERGEN-001]Hellebeekstraat ( N50.92061 E4.36553 ) "
4.42139, 50.915, "[VB][VILVOORDE-002]Schaarbeeklei ( N50.915 E4.42139 ) "
4.42139, 50.91556, "[VB][VILVOORDE-001]Schaarbeeklei ( N50.91556 E4.42139 ) "
4.42651, 50.90338, "[VB][MACHELEN-001]Woluwelaan ( N50.90338 E4.42651 ) "
4.42702, 50.90282, "[VB][MACHELEN-017]Woluwelaan ( N50.90282 E4.42702 ) "
4.43164, 50.9131, "[VB][MACHELEN-004]Woluwelaan ( N50.9131 E4.43164 ) "
4.43183, 50.91279, "[VB][MACHELEN-005]Woluwelaan ( N50.91279 E4.43183 ) "
4.43274, 50.89662, "[VB][DIEGEM-001]Woluwelaan ( N50.89662 E4.43274 ) "
4.43364, 50.89666, "[VB][DIEGEM-004]Woluwelaan ( N50.89666 E4.43364 ) "
4.43422, 50.91524, "[VB][MACHELEN-006]Woluwelaan ( N50.91524 E4.43422 ) "
4.43462, 50.91594, "[VB][MACHELEN-010]Woluwelaan ( N50.91594 E4.43462 ) "
4.43634, 50.89554, "[VB][DIEGEM-006]Woluwelaan ( N50.89554 E4.43634 ) "
4.43636, 50.89554, "[VB][DIEGEM-008]Woluwelaan ( N50.89554 E4.43636 ) "
4.43704, 50.8957, "[VB][DIEGEM-005]Woluwelaan ( N50.8957 E4.43704 ) "
4.43705, 50.89571, "[VB][DIEGEM-007]Woluwelaan ( N50.89571 E4.43705 ) "
2.6925, 51.1006, "[WV][WULPEN-002]Veurnekeiweg ( N51.1006 E2.6925 ) "
2.69257, 51.10102, "[WV][WULPEN-004]Toekomstlaan ( N51.10102 E2.69257 ) "
2.69324, 51.10049, "[WV][WULPEN-003]Toekomstlaan ( N51.10049 E2.69324 ) "
2.6934, 51.10099, "[WV][WULPEN-001]Veurnekeiweg ( N51.10099 E2.6934 ) "
2.71388, 51.13395, "[WV][B-NIEUWPOORT-001]Kinderlaan ( N51.13395 E2.71388 ) "
2.71403, 51.13378, "[WV][B-NIEUWPOORT-003]Kinderlaan ( N51.13378 E2.71403 ) "
2.9362, 51.16049, "[WV][GISTEL-001]Oostendse baan ( N51.16049 E2.9362 ) "
2.94068, 51.15772, "[WV][GISTEL-002]Oostendse Baan ( N51.15772 E2.94068 ) "
3.00068, 51.12062, "[WV][EERNEGEM-001]Oostendesteenweg ( N51.12062 E3.00068 ) "
3.00134, 51.12039, "[WV][EERNEGEM-003]Oostendesteenweg ( N51.12039 E3.00134 ) "
3.20629, 51.17202, "[WV][BRUGGE-018]Expressweg ( N51.17202 E3.20629 ) "
3.20727, 51.1712, "[WV][BRUGGE-019]Expressweg ( N51.1712 E3.20727 ) "
3.23012, 51.19869, "[WV][BRUGGE-008]Buiten Katelijnevest ( N51.19869 E3.23012 ) "
3.45344, 51.19369, "[OV][MALDEGEM-005]Aalterbaan ( N51.19369 E3.45344 ) "
3.59823, 51.15459, "[OV][WAARSCHOOT-001]Guido Gezellelaan ( N51.15459 E3.59823 ) "
3.59884, 51.1541, "[OV][WAARSCHOOT-002]Hendrik Consciencelaan ( N51.1541 E3.59884 ) "
3.60264, 51.14005, "[OV][WAARSCHOOT-003]Leeuw van Vlaanderenlaan ( N51.14005 E3.60264 ) "
3.60282, 51.13971, "[OV][WAARSCHOOT-004]Leeuw van Vlaanderenlaan ( N51.13971 E3.60282 ) "
3.61933, 51.107, "[OV][LOVENDEGEM-004]Grote Baan ( N51.107 E3.61933 ) "
3.61976, 51.10683, "[OV][LOVENDEGEM-002]Grote Baan ( N51.10683 E3.61976 ) "
3.63706, 51.09838, "[OV][LOVENDEGEM-001]Grote Baan ( N51.09838 E3.63706 ) "
3.6379, 51.09785, "[OV][LOVENDEGEM-003]Grote baan ( N51.09785 E3.6379 ) "
3.71416, 51.10048, "[OV][WONDELGEM-005]Industrieweg ( N51.10048 E3.71416 ) "
3.71453, 51.10088, "[OV][WONDELGEM-004]Eversteinlaan ( N51.10088 E3.71453 ) "
3.79339, 51.08328, "[OV][LOCHRISTI-002]Antwerpsestw ( N51.08328 E3.79339 ) "
3.79431, 51.0836, "[OV][LOCHRISTI-001]Antwerpsesteenweg ( N51.0836 E3.79431 ) "
3.86873, 51.10537, "[OV][LOCHRISTI-003]Denen ( N51.10537 E3.86873 ) "
3.86942, 51.10576, "[OV][LOCHRISTI-004]Denen ( N51.10576 E3.86942 ) "
3.97084, 51.10969, "[OV][LOKEREN-005]Gentse Steenweg ( N51.10969 E3.97084 ) "
3.97194, 51.10969, "[OV][LOKEREN-004]Gentse Steenweg ( N51.10969 E3.97194 ) "
4.00608, 51.097, "[OV][LOKEREN-010]Koning Boudewijnlaan ( N51.097 E4.00608 ) "
4.00751, 51.09695, "[OV][LOKEREN-001]Zelebaan ( N51.09695 E4.00751 ) "
4.06954, 51.13861, "[OV][BELSELE-001]Grote Baan ( N51.13861 E4.06954 ) "
4.07002, 51.13881, "[OV][BELSELE-002]Lokerse Baan ( N51.13881 E4.07002 ) "
4.08289, 51.14286, "[OV][BELSELE-003]Nieuwe Baan ( N51.14286 E4.08289 ) "
4.08366, 51.14297, "[OV][BELSELE-004]Nieuwe Baan ( N51.14297 E4.08366 ) "
4.12291, 51.06, "[OV][GREMBERGEN-002]N41 ( N51.06 E4.12291 ) "
4.13252, 51.15059, "[OV][SINT-NIKLAAS-005]Gentsebaan ( N51.15059 E4.13252 ) "
4.13303, 51.15072, "[OV][SINT-NIKLAAS-013]Prinses Jos.-Charlottelaan ( N51.15072 E4.13303 ) "
4.14148, 51.082, "[OV][HAMME-003]Rijksweg ( N51.082 E4.14148 ) "
4.14166, 51.08248, "[OV][HAMME-004]Rijksweg ( N51.08248 E4.14166 ) "
4.1455, 51.08696, "[OV][HAMME-001]Rijksweg ( N51.08696 E4.1455 ) "
4.1455, 51.08733, "[OV][HAMME-002]Rijksweg ( N51.08733 E4.1455 ) "
4.14938, 51.09185, "[OV][HAMME-008]Rijksweg ( N51.09185 E4.14938 ) "
4.14944, 51.09728, "[OV][HAMME-006]Rijksweg ( N51.09728 E4.14944 ) "
4.14953, 51.09223, "[OV][HAMME-007]Rijksweg ( N51.09223 E4.14953 ) "
4.14983, 51.09705, "[OV][HAMME-005]Rijksweg ( N51.09705 E4.14983 ) "
4.15917, 51.17073, "[OV][SINT-NIKLAAS-026]Singel ( N51.17073 E4.15917 ) "
4.16005, 51.1706, "[OV][SINT-NIKLAAS-025]Singel ( N51.1706 E4.16005 ) "
4.16053, 51.15012, "[OV][SINT-NIKLAAS-017]Prins Alexanderlaan ( N51.15012 E4.16053 ) "
4.16166, 51.14961, "[OV][SINT-NIKLAAS-002]Prins Alexanderlaan ( N51.14961 E4.16166 ) "
4.17392, 51.16654, "[OV][SINT-NIKLAAS-004]Prins Boudewijnlaan ( N51.16654 E4.17392 ) "
4.17428, 51.16702, "[OV][SINT-NIKLAAS-022]Heidebaan ( N51.16702 E4.17428 ) "
4.18345, 51.1723, "[OV][SINT-NIKLAAS-021]Heidebaan ( N51.1723 E4.18345 ) "
4.18363, 51.17265, "[OV][SINT-NIKLAAS-020]Heidebaan ( N51.17265 E4.18363 ) "
4.19229, 51.17772, "[OV][SINT-NIKLAAS-001]Heidebaan ( N51.17772 E4.19229 ) "
4.19306, 51.17861, "[OV][SINT-NIKLAAS-016]Grote Baan ( N51.17861 E4.19306 ) "
4.42184, 51.19215, "[AW][BERCHEM-015]Binnensingel ( N51.19215 E4.42184 ) "
4.42244, 51.19283, "[AW][BERCHEM-021]Binnensingel ( N51.19283 E4.42244 ) "
4.42459, 51.19046, "[AW][BERCHEM-009]Grote Steenweg ( N51.19046 E4.42459 ) "
4.425, 51.18982, "[AW][BERCHEM-010]Grote Steenweg ( N51.18982 E4.425 ) "
4.42863, 51.18647, "[AW][BERCHEM-007]Grote Steenweg ( N51.18647 E4.42863 ) "
4.43076, 51.18338, "[AW][BERCHEM-001]Grote Steenweg ( N51.18338 E4.43076 ) "
4.43116, 51.18324, "[AW][BERCHEM-002]Grote Steenweg ( N51.18324 E4.43116 ) "
