Funds	
null	
Price search	

Instrument's name	ISIN	Euronext code	Market	Symbol	Trading currency	Last	Volume	D/D-1 (%)	Date - time (CET)	Turnover	Trading mode	Day First	Day High	Day High / Date - time (CET)	Day Low	Day Low / Date - time (CET)	 31-12/Change (%)	 31-12/High	 31-12/High/Date	 31-12/Low	 31-12/Low/Date	 52 weeks/Change (%)	 52 weeks/High	 52 weeks/High/Date	 52 weeks/Low	 52 weeks/Low/Date	Halted	Halted / Date - time (CET)	Halted	Halted / Date - time (CET)
DELTA LLOYD SLD FD	NL0000292746	NL0000292746	AMS	DLSDF	EUR	6.04	11 335	1	16/07/09 10:00	68 463	null	6.04	6.04	16/07/09 10:00	6.04	16/07/09 10:00	-8.21	6.9	07/01/09	5.5	10/03/09	-20.42	8.1	22/09/08	5.5	10/03/09	-	-	-	-
DRES VPV EUR VALFD	NL0006017956	NL0006017956	AMS	DREEV	EUR	18.07	1 029	2.55	16/07/09 10:00	18 594	null	18.07	18.07	16/07/09 10:00	18.07	16/07/09 10:00	11.89	18.77	11/06/09	14.04	09/03/09	-30.02	30.45	12/08/08	14.04	09/03/09	-	-	-	-
DRES VPV INCOME	NL0000291441	NL0000291441	AMS	DRIGM	EUR	12.57	200	0.4	16/07/09 10:00	2 514	null	12.57	12.57	16/07/09 10:00	12.57	16/07/09 10:00	-16.59	14.89	13/07/09	11.68	14/04/09	-53.06	27.04	25/07/08	11.68	14/04/09	-	-	-	-
FAXTOR CREDIT VAL	NL0000290070	NL0000290070	AMS	FAXTR	EUR	9.98	0	-20.22	02/01/09 10:00	0	null	9.98	9.98	02/01/09 10:00	9.98	02/01/09 10:00	-20.22	9.98	02/01/09	9.98	02/01/09	-52.84	21.15	30/07/08	9.98	02/01/09	-	-	-	-
FB OBAM	NL0006293888	NL0006293888	AMS	OBAM	EUR	39.83	89 320	3.16	16/07/09 10:00	3 557 616	null	39.83	39.83	16/07/09 10:00	39.83	16/07/09 10:00	36.08	43.14	12/06/09	26.88	09/03/09	-40.97	68.01	31/07/08	26.88	09/03/09	-	-	-	-
FORTIS AEXI FD9	NL0006477853	NL0006477853	AMS	FAEXF	EUR	273.28	1 591	3.54	16/07/09 10:00	434 788	null	273.28	273.28	16/07/09 10:00	273.28	16/07/09 10:00	8.8	281.73	03/06/09	203.73	10/03/09	-33.31	432.91	13/08/08	203.73	10/03/09	-	-	-	-
FORTIS ALLIN FD	NL0006477903	NL0006477903	AMS	FAIF	EUR	47.45	2 369	0.59	16/07/09 10:00	112 409	null	47.45	47.45	16/07/09 10:00	47.45	16/07/09 10:00	-2.02	49.39	07/01/09	45.42	06/03/09	-5.19	51.57	09/09/08	45.42	06/03/09	-	-	-	-
FORTIS ALLINC FD7	NL0006477929	NL0006477929	AMS	FAICF	EUR	35.39	2 134	1.23	16/07/09 10:00	75 522	null	35.39	35.39	16/07/09 10:00	35.39	16/07/09 10:00	2.85	35.68	11/05/09	29.19	10/03/09	-18.44	45.56	12/08/08	29.19	10/03/09	-	-	-	-
FORTIS APHI FD19	NL0006477887	NL0006477887	AMS	FAPHF	EUR	40.26	3 083	2.29	16/07/09 10:00	124 122	null	40.26	40.26	16/07/09 10:00	40.26	16/07/09 10:00	11.74	41.22	10/06/09	32.2	09/03/09	-23.49	55.08	24/07/08	32.2	09/03/09	-	-	-	-
FORTIS EUROBL FD2	NL0006477911	NL0006477911	AMS	FEOF	EUR	100.39	12 158	-0.15	16/07/09 10:00	1 220 542	null	100.39	100.39	16/07/09 10:00	100.39	16/07/09 10:00	-2.48	103.57	30/04/09	97.92	08/06/09	5.30	103.86	04/12/08	94.26	22/07/08	-	-	-	-
FORTIS GHIE FD18	NL0006477879	NL0006477879	AMS	FGHEF	EUR	45.44	48 770	1.36	16/07/09 10:00	2 216 109	null	45.44	45.44	16/07/09 10:00	45.44	16/07/09 10:00	0.62	47.57	07/01/09	35.62	10/03/09	-25.91	66.04	12/08/08	35.62	10/03/09	-	-	-	-
FORTIS GPS FD4	NL0006477804	NL0006477804	AMS	FGPSF	EUR	30.32	1 363	1.88	16/07/09 10:00	41 326	null	30.32	30.32	16/07/09 10:00	30.32	16/07/09 10:00	6.54	32.08	07/01/09	20.4	09/03/09	-32.88	52.66	12/08/08	20.4	09/03/09	-	-	-	-
FORTIS HIP FD10	NL0006477861	NL0006477861	AMS	FHPF	EUR	18.62	2 556	2.59	16/07/09 10:00	47 593	null	18.62	18.62	16/07/09 10:00	18.62	16/07/09 10:00	-4.02	20.45	07/01/09	12.74	09/03/09	-39.37	35.24	24/07/08	12.74	09/03/09	-	-	-	-
FORTIS NETH FD2	NL0006477796	NL0006477796	AMS	FNF	EUR	79.15	796	3.72	16/07/09 10:00	63 003	null	79.15	79.15	16/07/09 10:00	79.15	16/07/09 10:00	7.02	80.65	12/06/09	61.7	09/03/09	-37.89	134.91	13/08/08	61.7	09/03/09	-	-	-	-
FORTIS PGD FD5	NL0006477895	NL0006477895	AMS	FPDEF	EUR	34.84	84 422	1.57	16/07/09 10:00	2 941 262	null	34.84	34.84	16/07/09 10:00	34.84	16/07/09 10:00	-3.94	37.5	07/01/09	29.72	09/03/09	-21.00	46.47	12/08/08	29.72	09/03/09	-	-	-	-
FORTIS PS FDA5	NL0006477812	NL0006477812	AMS	FPSA	EUR	28.78	1	1.84	16/07/09 10:00	29	null	28.78	28.78	16/07/09 10:00	28.78	16/07/09 10:00	13.22	30.65	07/05/09	18.26	09/03/09	-38.00	56.65	12/08/08	18.26	09/03/09	-	-	-	-
FORTIS PS FDE6	NL0006477820	NL0006477820	AMS	FPSEU	EUR	30.79	124	1.72	16/07/09 10:00	3 818	null	30.79	30.79	16/07/09 10:00	30.79	16/07/09 10:00	13.28	32.13	08/05/09	18.53	10/03/09	-35.46	54.86	13/08/08	18.53	10/03/09	-	-	-	-
FORTIS PS FDE7	NL0006477838	NL0006477838	AMS	FPSFE	EUR	25.75	247	1.42	16/07/09 10:00	6 360	null	25.75	25.75	16/07/09 10:00	25.75	16/07/09 10:00	18.66	26.21	30/06/09	15.98	09/03/09	-12.00	34.15	24/07/08	15.98	09/03/09	-	-	-	-
FORTIS SCN FD8	NL0006477846	NL0006477846	AMS	FSCNF	EUR	75.53	282	2.57	16/07/09 10:00	21 299	null	75.53	75.53	16/07/09 10:00	75.53	16/07/09 10:00	33.94	77.89	11/06/09	51.32	10/03/09	-8.30	92.54	12/08/08	51.32	10/03/09	-	-	-	-
FSB AAND FND	NL0000285955	NL0000285955	AMS	FLBAF	EUR	14.28	2	1.64	16/07/09 10:00	29	null	14.28	14.28	16/07/09 10:00	14.28	16/07/09 10:00	-1.11	16.03	07/01/09	12.86	10/03/09	-23.92	20.6	09/09/08	12.86	10/03/09	-	-	-	-
