Funds	
null	
Price search	

Instrument's name	ISIN	Euronext code	Market	Symbol	Trading currency	Last	Volume	D/D-1 (%)	Date - time (CET)	Turnover	Trading mode	Day First	Day High	Day High / Date - time (CET)	Day Low	Day Low / Date - time (CET)	 31-12/Change (%)	 31-12/High	 31-12/High/Date	 31-12/Low	 31-12/Low/Date	 52 weeks/Change (%)	 52 weeks/High	 52 weeks/High/Date	 52 weeks/Low	 52 weeks/Low/Date	Halted	Halted / Date - time (CET)	Halted	Halted / Date - time (CET)
SNS NED AAND FONDS	NL0000291037	NL0000291037	AMS	SNSNA	EUR	28.74	5 768	3.75	16/07/09 10:00	165 772	null	28.74	28.74	16/07/09 10:00	28.74	16/07/09 10:00	2.42	30.67	07/01/09	22.87	10/03/09	-35.47	47.11	03/09/08	22.87	10/03/09	-	-	-	-
SNS OPK LAND AF	NL0000293371	NL0000293371	AMS	SNSOL	EUR	17.52	1 214	2.04	16/07/09 10:00	21 269	null	17.52	17.52	16/07/09 10:00	17.52	16/07/09 10:00	36.13	17.71	03/06/09	12.39	09/03/09	-15.28	21.55	24/07/08	11.69	24/11/08	-	-	-	-
SNS OPTI GEEL 17	NL0000286631	NL0000286631	AMS	SNSPG	EUR	26.13	2 648	0.31	16/07/09 10:00	69 192	null	26.13	26.13	16/07/09 10:00	26.13	16/07/09 10:00	0	26.6	06/01/09	25.04	10/03/09	-1.58	27.32	03/09/08	25.04	10/03/09	-	-	-	-
SNS OPTI ORANJE 18	NL0000286649	NL0000286649	AMS	SNSPO	EUR	26.99	178	0.75	16/07/09 10:00	4 804	null	26.99	26.99	16/07/09 10:00	26.99	16/07/09 10:00	2.78	27.35	07/01/09	24.18	10/03/09	-5.17	29.8	03/09/08	24.18	10/03/09	-	-	-	-
SNS OPTI ROOD 19	NL0000286656	NL0000286656	AMS	SNSPR	EUR	24.97	405	1.38	16/07/09 10:00	10 113	null	24.97	24.97	16/07/09 10:00	24.97	16/07/09 10:00	6.98	25.2	07/01/09	20.41	10/03/09	-11.17	30.02	18/08/08	20.41	10/03/09	-	-	-	-
SNS OPTIMAAL BLAUW	NL0006056822	NL0006056822	AMS	SNSPB	EUR	25.04	2	0.2	16/07/09 10:00	50	null	25.04	25.04	16/07/09 10:00	25.04	16/07/09 10:00	0.64	25.11	20/04/09	24.43	10/03/09	1.17	25.17	11/09/08	24.43	10/03/09	-	-	-	-
SNS OPTIMAAL PAARS	NL0000291193	NL0000291193	AMS	SNSPP	EUR	10.21	664	1.49	16/07/09 10:00	6 779	null	10.21	10.21	16/07/09 10:00	10.21	16/07/09 10:00	9.55	10.38	15/06/09	7.82	10/03/09	-16.24	13.26	12/08/08	7.82	10/03/09	-	-	-	-
SNS WERELD AANDFDS	NL0000291144	NL0000291144	AMS	SNSWF	EUR	11.48	2 835	1.77	16/07/09 10:00	32 546	null	11.48	11.48	16/07/09 10:00	11.48	16/07/09 10:00	6.49	11.85	07/01/09	9.21	10/03/09	-16.39	14.93	12/08/08	9.21	10/03/09	-	-	-	-
SUSTAINABLE VAL FD	NL0006239006	NL0006239006	AMS	INSVF	EUR	18.64	400	-1.58	07/07/09 10:00	7 456	null	18.64	18.64	07/07/09 10:00	18.64	07/07/09 10:00	7.37	19.36	15/06/09	15.75	03/03/09	-20.65	24.76	01/09/08	15.75	03/03/09	-	-	-	-
T&P ALLEGRETTO FD	NL0000290088	NL0000290088	AMS	TP	EUR	7.28	143	2.54	16/07/09 10:00	1 041	null	7.28	7.28	16/07/09 10:00	7.28	16/07/09 10:00	5.66	7.43	12/06/09	6.08	10/03/09	-24.87	9.91	24/07/08	6.08	10/03/09	-	-	-	-
TRIODO MW AAND FDS	NL0000289742	NL0000289742	AMS	TMWAB	EUR	16.37	1 879	2.06	16/07/09 10:00	30 759	null	16.37	16.37	16/07/09 10:00	16.37	16/07/09 10:00	9.43	16.94	12/06/09	12.8	10/03/09	-23.00	23.45	01/09/08	12.8	10/03/09	-	-	-	-
TRIODO MW MIXFDS A	NL0000288116	NL0000288116	AMS	MWMXF	EUR	23.21	335	0.74	16/07/09 10:00	7 775	null	23.21	23.21	16/07/09 10:00	23.21	16/07/09 10:00	2.84	23.3	20/04/09	21.41	10/03/09	-7.82	26.36	01/09/08	21.41	10/03/09	-	-	-	-
TRIODOS CULT FONDS	NL0000290948	NL0000290948	AMS	TCF	EUR	25.92	3 493	0	16/07/09 10:00	90 539	null	25.92	25.92	16/07/09 10:00	25.92	16/07/09 10:00	-1.07	26.33	22/04/09	25.44	12/06/09	6.36	26.33	22/04/09	24.12	24/07/08	-	-	-	-
TRIODOS GROENFONDS	NL0000440204	NL0000440204	AMS	TRIGF	EUR	57.55	4 486	0.02	16/07/09 10:00	258 169	null	57.55	57.55	16/07/09 10:00	57.55	16/07/09 10:00	-1.03	58.8	22/04/09	56.86	12/06/09	4.73	58.8	22/04/09	54.62	24/07/08	-	-	-	-
TRIODOS MW OBL FDS	NL0000289759	NL0000289759	AMS	TMWOC	EUR	27.8	633	0.11	16/07/09 10:00	17 597	null	27.8	27.8	16/07/09 10:00	27.8	16/07/09 10:00	-0.04	28.18	27/04/09	27.17	12/06/09	2.28	28.18	27/04/09	26.83	21/10/08	-	-	-	-
TRIODOS VASTGOED	NL0000079333	NL0000079333	AMS	TVG	EUR	6.21	15 265	0	16/07/09 10:00	94 796	null	6.21	6.21	16/07/09 10:00	6.21	16/07/09 10:00	-7.86	6.85	30/03/09	6.14	03/07/09	-11.79	7.04	07/10/08	6.14	03/07/09	-	-	-	-
WP STEWART HOLD FD	LU0237485098	LU0237485098	AMS	WPSH	USD	128.02	0	0	16/07/09 10:00	0	null	128.02	0	-	0	-	17.89	128.02	16/07/09	0	-	-11.40	170.39	29/08/08	-	03/07/09	-	-	-	-
